[2024-06-17T04:50:58.407+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-17T04:50:58.429+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: airflow_example.insert_json scheduled__2024-06-16T00:00:00+00:00 [queued]>
[2024-06-17T04:50:58.438+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: airflow_example.insert_json scheduled__2024-06-16T00:00:00+00:00 [queued]>
[2024-06-17T04:50:58.438+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 6
[2024-06-17T04:50:58.452+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): insert_json> on 2024-06-16 00:00:00+00:00
[2024-06-17T04:50:58.457+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=5194) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-06-17T04:50:58.458+0000] {standard_task_runner.py:63} INFO - Started process 5195 to run task
[2024-06-17T04:50:58.459+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', '***_example', 'insert_json', 'scheduled__2024-06-16T00:00:00+00:00', '--job-id', '291', '--raw', '--subdir', 'DAGS_FOLDER/file_jsons_to_postgres.py', '--cfg-path', '/tmp/tmpdu1zt1_n']
[2024-06-17T04:50:58.460+0000] {standard_task_runner.py:91} INFO - Job 291: Subtask insert_json
[2024-06-17T04:50:58.504+0000] {task_command.py:426} INFO - Running <TaskInstance: airflow_example.insert_json scheduled__2024-06-16T00:00:00+00:00 [running]> on host 8cc8d7c9eee4
[2024-06-17T04:50:58.604+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='***_example' AIRFLOW_CTX_TASK_ID='insert_json' AIRFLOW_CTX_EXECUTION_DATE='2024-06-16T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-06-16T00:00:00+00:00'
[2024-06-17T04:50:58.605+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-17T04:50:58.631+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Sekhar', 'email': 'f5gqiw!vz4@kowtjsn.mb', 'date': '2024-06-13'}
[2024-06-17T04:50:58.633+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Praneeth', 'email': 'jj%fpfe!2a@ltuyxhh.vw', 'date': '2024-06-13'}
[2024-06-17T04:50:58.635+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Kiran', 'email': 'b@kbzv.jg', 'date': '2024-06-13'}
[2024-06-17T04:50:58.638+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Ushasri', 'email': 'dfkcn@wpdrh.fbg', 'date': '2024-06-13'}
[2024-06-17T04:50:58.641+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Nagavamsi', 'email': '44ldpo@wci.zl', 'date': '2024-06-13'}
[2024-06-17T04:50:58.643+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Nadikatla', 'email': 'h#zn1l3pu@hstx.rf', 'date': '2024-06-13'}
[2024-06-17T04:50:58.646+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Ushasri', 'email': 'jemhz4^i!#@nns.ld', 'date': '2024-01-13'}
[2024-06-17T04:50:58.648+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Masthan', 'email': '6b5v@jkaznzpsw.bw', 'date': '2024-06-13'}
[2024-06-17T04:50:58.650+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Soukhya', 'email': 'ihww2@noqe.mf', 'date': '2024-01-13'}
[2024-06-17T04:50:58.653+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Prasanna', 'email': 'l&@cbclt.keo', 'date': '2024-06-13'}
[2024-06-17T04:50:58.655+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Dathrika', 'email': 'f.z$ig!x&!@qow.iz', 'date': '2024-06-13'}
[2024-06-17T04:50:58.658+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Spandana', 'email': 'caonya#wz@mzkmcma.fe', 'date': '2024-06-13'}
[2024-06-17T04:50:58.660+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Saiteja', 'email': 'tbyhsqy@juh.dae', 'date': '2024-06-13'}
[2024-06-17T04:50:58.663+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Vadlamudi', 'email': 'tjcuy^8f5v@wcujzcxm.zi', 'date': '2024-06-13'}
[2024-06-17T04:50:58.665+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Bahoju', 'email': 'r&lx00k0e1@xadkfvwpy.ecq', 'date': '2024-06-13'}
[2024-06-17T04:50:58.669+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Udugula', 'email': 'mu67%^thy@nvji.tw', 'date': '2024-06-13'}
[2024-06-17T04:50:58.672+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Chandra', 'email': '5nss&r*!d@glt.bjk', 'date': '2024-06-13'}
[2024-06-17T04:50:58.675+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Machupalli', 'email': 'dcufgw@g.de', 'date': '2024-06-13'}
[2024-06-17T04:50:58.678+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Karnati', 'email': 'y@ezzgxyr.wly', 'date': '2024-06-13'}
[2024-06-17T04:50:58.680+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Moru', 'email': '3&bs@zzn.we', 'date': '2024-06-13'}
[2024-06-17T04:50:58.683+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Vankamamidi', 'email': 'y0decbadz@ycuuckeix.fc', 'date': '2024-06-13'}
[2024-06-17T04:50:58.685+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Mohammad', 'email': 'pr*@vvfgsrgy.ltl', 'date': '2024-06-13'}
[2024-06-17T04:50:58.687+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Saiteja', 'email': 'r5$yd&.@jotkhbpro.kpp', 'date': '2024-06-13'}
[2024-06-17T04:50:58.689+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Suma', 'email': 'y@a.aen', 'date': '2013-06-24'}
[2024-06-17T04:50:58.692+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Akhilesh', 'email': 'kx@nlqudvj.yyk', 'date': '2024-06-13'}
[2024-06-17T04:50:58.694+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Adepu', 'email': 'h57!p^plx6@mx.ahk', 'date': '2024-06-13'}
[2024-06-17T04:50:58.696+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Vadlamudi', 'email': 'h@fsodmmbxi.ya', 'date': '2024-06-13'}
[2024-06-17T04:50:58.699+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Chandrakanth', 'email': 'ze@kbc.ulm', 'date': '2024-06-13'}
[2024-06-17T04:50:58.701+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Shareef', 'email': 'ki9hv5@mjugdkxl.qa', 'date': '2024-06-13'}
[2024-06-17T04:50:58.703+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Komati', 'email': '10$*u@c.qt', 'date': '2024-06-13'}
[2024-06-17T04:50:58.705+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Anthati', 'email': '4@yjlw.fx', 'date': '2024-06-13'}
[2024-06-17T04:50:58.708+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Nikhil', 'email': 'cokto@zbpiwpi.mb', 'date': '2024-06-13'}
[2024-06-17T04:50:58.710+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Chandrakanth', 'email': 'z.4k#@qwpml.bl', 'date': '2024-06-13'}
[2024-06-17T04:50:58.713+0000] {file_jsons_to_postgres.py:115} INFO - Inserting entry: {'name': 'Chirneni', 'email': 'kv3*qy@jxoy.fxy', 'date': '2024-06-13'}
