[2024-06-17T06:26:46.008+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-17T06:26:46.033+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: airflow_example.insert_json manual__2024-06-17T06:26:41.544065+00:00 [queued]>
[2024-06-17T06:26:46.043+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: airflow_example.insert_json manual__2024-06-17T06:26:41.544065+00:00 [queued]>
[2024-06-17T06:26:46.043+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 6
[2024-06-17T06:26:46.058+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): insert_json> on 2024-06-17 06:26:41.544065+00:00
[2024-06-17T06:26:46.063+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=6410) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-06-17T06:26:46.064+0000] {standard_task_runner.py:63} INFO - Started process 6411 to run task
[2024-06-17T06:26:46.065+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', '***_example', 'insert_json', 'manual__2024-06-17T06:26:41.544065+00:00', '--job-id', '303', '--raw', '--subdir', 'DAGS_FOLDER/file_jsons_to_postgres.py', '--cfg-path', '/tmp/tmpxapsv3f9']
[2024-06-17T06:26:46.066+0000] {standard_task_runner.py:91} INFO - Job 303: Subtask insert_json
[2024-06-17T06:26:46.100+0000] {task_command.py:426} INFO - Running <TaskInstance: airflow_example.insert_json manual__2024-06-17T06:26:41.544065+00:00 [running]> on host 8cc8d7c9eee4
[2024-06-17T06:26:46.179+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='***_example' AIRFLOW_CTX_TASK_ID='insert_json' AIRFLOW_CTX_EXECUTION_DATE='2024-06-17T06:26:41.544065+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-17T06:26:41.544065+00:00'
[2024-06-17T06:26:46.180+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-17T06:26:46.207+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Sekhar', 'email': 'f5gqiw!vz4@kowtjsn.mb', 'date': '2024-06-13'}
[2024-06-17T06:26:46.208+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Praneeth', 'email': 'jj%fpfe!2a@ltuyxhh.vw', 'date': '2024-06-13'}
[2024-06-17T06:26:46.209+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Kiran', 'email': 'b@kbzv.jg', 'date': '2024-06-13'}
[2024-06-17T06:26:46.210+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Ushasri', 'email': 'dfkcn@wpdrh.fbg', 'date': '2024-06-13'}
[2024-06-17T06:26:46.211+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Nagavamsi', 'email': '44ldpo@wci.zl', 'date': '2024-06-13'}
[2024-06-17T06:26:46.212+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Nadikatla', 'email': 'h#zn1l3pu@hstx.rf', 'date': '2024-06-13'}
[2024-06-17T06:26:46.213+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Ushasri', 'email': 'jemhz4^i!#@nns.ld', 'date': '2024-01-13'}
[2024-06-17T06:26:46.213+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Masthan', 'email': '6b5v@jkaznzpsw.bw', 'date': '2024-06-13'}
[2024-06-17T06:26:46.215+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Soukhya', 'email': 'ihww2@noqe.mf', 'date': '2024-01-13'}
[2024-06-17T06:26:46.216+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Prasanna', 'email': 'l&@cbclt.keo', 'date': '2024-06-13'}
[2024-06-17T06:26:46.217+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Dathrika', 'email': 'f.z$ig!x&!@qow.iz', 'date': '2024-06-13'}
[2024-06-17T06:26:46.218+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Spandana', 'email': 'caonya#wz@mzkmcma.fe', 'date': '2024-06-13'}
[2024-06-17T06:26:46.219+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Saiteja', 'email': 'tbyhsqy@juh.dae', 'date': '2024-06-13'}
[2024-06-17T06:26:46.220+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Vadlamudi', 'email': 'tjcuy^8f5v@wcujzcxm.zi', 'date': '2024-06-13'}
