[2024-06-19T18:30:05.560+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-19T18:30:05.582+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: file_jsons_to_postgres.insert_json scheduled__2024-06-19T18:25:00+00:00 [queued]>
[2024-06-19T18:30:05.591+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: file_jsons_to_postgres.insert_json scheduled__2024-06-19T18:25:00+00:00 [queued]>
[2024-06-19T18:30:05.592+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 6
[2024-06-19T18:30:05.609+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): insert_json> on 2024-06-19 18:25:00+00:00
[2024-06-19T18:30:05.615+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=1305) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-06-19T18:30:05.616+0000] {standard_task_runner.py:63} INFO - Started process 1308 to run task
[2024-06-19T18:30:05.616+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'file_jsons_to_postgres', 'insert_json', 'scheduled__2024-06-19T18:25:00+00:00', '--job-id', '1699', '--raw', '--subdir', 'DAGS_FOLDER/file_jsons_to_postgres.py', '--cfg-path', '/tmp/tmp5mrdzvwt']
[2024-06-19T18:30:05.617+0000] {standard_task_runner.py:91} INFO - Job 1699: Subtask insert_json
[2024-06-19T18:30:05.660+0000] {task_command.py:426} INFO - Running <TaskInstance: file_jsons_to_postgres.insert_json scheduled__2024-06-19T18:25:00+00:00 [running]> on host e66744caf823
[2024-06-19T18:30:05.759+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='file_jsons_to_postgres' AIRFLOW_CTX_TASK_ID='insert_json' AIRFLOW_CTX_EXECUTION_DATE='2024-06-19T18:25:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-06-19T18:25:00+00:00'
[2024-06-19T18:30:05.759+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-19T18:30:05.790+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Sekhar', 'email': 'f5gqiw!vz4@kowtjsn.mb', 'date': '2024-06-13'}
[2024-06-19T18:30:05.792+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Praneeth', 'email': 'jj%fpfe!2a@ltuyxhh.vw', 'date': '2024-06-13'}
[2024-06-19T18:30:05.793+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Kiran', 'email': 'b@kbzv.jg', 'date': '2024-06-13'}
[2024-06-19T18:30:05.794+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Ushasri', 'email': 'dfkcn@wpdrh.fbg', 'date': '2024-06-13'}
[2024-06-19T18:30:05.795+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Nagavamsi', 'email': '44ldpo@wci.zl', 'date': '2024-06-13'}
[2024-06-19T18:30:05.796+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Nadikatla', 'email': 'h#zn1l3pu@hstx.rf', 'date': '2024-06-13'}
[2024-06-19T18:30:05.798+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Ushasri', 'email': 'jemhz4^i!#@nns.ld', 'date': '2024-01-13'}
[2024-06-19T18:30:05.799+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Masthan', 'email': '6b5v@jkaznzpsw.bw', 'date': '2024-06-13'}
[2024-06-19T18:30:05.800+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Soukhya', 'email': 'ihww2@noqe.mf', 'date': '2024-01-13'}
[2024-06-19T18:30:05.801+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Prasanna', 'email': 'l&@cbclt.keo', 'date': '2024-06-13'}
[2024-06-19T18:30:05.802+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Dathrika', 'email': 'f.z$ig!x&!@qow.iz', 'date': '2024-06-13'}
[2024-06-19T18:30:05.803+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Spandana', 'email': 'caonya#wz@mzkmcma.fe', 'date': '2024-06-13'}
[2024-06-19T18:30:05.804+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Saiteja', 'email': 'tbyhsqy@juh.dae', 'date': '2024-06-13'}
[2024-06-19T18:30:05.805+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Vadlamudi', 'email': 'tjcuy^8f5v@wcujzcxm.zi', 'date': '2024-06-13'}
[2024-06-19T18:30:05.806+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Bahoju', 'email': 'r&lx00k0e1@xadkfvwpy.ecq', 'date': '2024-06-13'}
[2024-06-19T18:30:05.807+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Udugula', 'email': 'mu67%^thy@nvji.tw', 'date': '2024-06-13'}
[2024-06-19T18:30:05.808+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Chandra', 'email': '5nss&r*!d@glt.bjk', 'date': '2024-06-13'}
[2024-06-19T18:30:05.808+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Machupalli', 'email': 'dcufgw@g.de', 'date': '2024-06-13'}
[2024-06-19T18:30:05.809+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Karnati', 'email': 'y@ezzgxyr.wly', 'date': '2024-06-13'}
[2024-06-19T18:30:05.810+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Moru', 'email': '3&bs@zzn.we', 'date': '2024-06-13'}
[2024-06-19T18:30:05.811+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Vankamamidi', 'email': 'y0decbadz@ycuuckeix.fc', 'date': '2024-06-13'}
[2024-06-19T18:30:05.812+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Mohammad', 'email': 'pr*@vvfgsrgy.ltl', 'date': '2024-06-13'}
[2024-06-19T18:30:05.813+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Saiteja', 'email': 'r5$yd&.@jotkhbpro.kpp', 'date': '2024-06-13'}
[2024-06-19T18:30:05.814+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Suma', 'email': 'y@a.aen', 'date': '2013-06-24'}
[2024-06-19T18:30:05.814+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Akhilesh', 'email': 'kx@nlqudvj.yyk', 'date': '2024-06-13'}
[2024-06-19T18:30:05.815+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Adepu', 'email': 'h57!p^plx6@mx.ahk', 'date': '2024-06-13'}
[2024-06-19T18:30:05.816+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Vadlamudi', 'email': 'h@fsodmmbxi.ya', 'date': '2024-06-13'}
[2024-06-19T18:30:05.817+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Chandrakanth', 'email': 'ze@kbc.ulm', 'date': '2024-06-13'}
[2024-06-19T18:30:05.818+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Shareef', 'email': 'ki9hv5@mjugdkxl.qa', 'date': '2024-06-13'}
[2024-06-19T18:30:05.818+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Komati', 'email': '10$*u@c.qt', 'date': '2024-06-13'}
[2024-06-19T18:30:05.819+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Anthati', 'email': '4@yjlw.fx', 'date': '2024-06-13'}
[2024-06-19T18:30:05.820+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Nikhil', 'email': 'cokto@zbpiwpi.mb', 'date': '2024-06-13'}
[2024-06-19T18:30:05.821+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Chandrakanth', 'email': 'z.4k#@qwpml.bl', 'date': '2024-06-13'}
[2024-06-19T18:30:05.822+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Chirneni', 'email': 'kv3*qy@jxoy.fxy', 'date': '2024-06-13'}
[2024-06-19T18:30:05.823+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Sree', 'email': 'ou@xfemwoclu.hm', 'date': '2024-06-13'}
[2024-06-19T18:30:05.824+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Bahoju', 'email': '4!w7@gezqtv.hk', 'date': '2024-06-13'}
[2024-06-19T18:30:05.826+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Karnati', 'email': 'ot@lwj.dc', 'date': '2024-06-13'}
[2024-06-19T18:30:05.826+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Suma', 'email': 'wj1k*!@vwejlvvp.hvi', 'date': '2024-06-13'}
[2024-06-19T18:30:05.830+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Davis', 'email': '23@faijzja.nt', 'date': '2024-06-13'}
[2024-06-19T18:30:05.831+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Krishna', 'email': 'q#$$j@yjxdinptj.gvl', 'date': '2024-06-13'}
[2024-06-19T18:30:05.832+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Sree', 'email': 'gvy&%4pec@g.wmh', 'date': '2024-06-13'}
[2024-06-19T18:30:05.833+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Sekhar', 'email': 'uv@afafb.rg', 'date': '2024-06-13'}
[2024-06-19T18:30:05.834+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Aishwarya', 'email': 'rp5@pccierqb.vxb', 'date': '2024-06-13'}
[2024-06-19T18:30:05.835+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Narandas', 'email': '4gct!j@begxgno.si', 'date': '2024-06-13'}
[2024-06-19T18:30:05.836+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Jyothi', 'email': '8r5xyb.!@bji.su', 'date': '2013-06-24'}
