[2024-06-19T18:35:05.058+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-19T18:35:05.097+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: file_jsons_to_postgres.insert_json scheduled__2024-06-19T18:30:00+00:00 [queued]>
[2024-06-19T18:35:05.112+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: file_jsons_to_postgres.insert_json scheduled__2024-06-19T18:30:00+00:00 [queued]>
[2024-06-19T18:35:05.112+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 6
[2024-06-19T18:35:05.134+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): insert_json> on 2024-06-19 18:30:00+00:00
[2024-06-19T18:35:05.141+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=1447) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-06-19T18:35:05.143+0000] {standard_task_runner.py:63} INFO - Started process 1450 to run task
[2024-06-19T18:35:05.143+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'file_jsons_to_postgres', 'insert_json', 'scheduled__2024-06-19T18:30:00+00:00', '--job-id', '1738', '--raw', '--subdir', 'DAGS_FOLDER/file_jsons_to_postgres.py', '--cfg-path', '/tmp/tmpg43ni5kt']
[2024-06-19T18:35:05.145+0000] {standard_task_runner.py:91} INFO - Job 1738: Subtask insert_json
[2024-06-19T18:35:05.207+0000] {task_command.py:426} INFO - Running <TaskInstance: file_jsons_to_postgres.insert_json scheduled__2024-06-19T18:30:00+00:00 [running]> on host e66744caf823
[2024-06-19T18:35:05.329+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='file_jsons_to_postgres' AIRFLOW_CTX_TASK_ID='insert_json' AIRFLOW_CTX_EXECUTION_DATE='2024-06-19T18:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-06-19T18:30:00+00:00'
[2024-06-19T18:35:05.330+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-19T18:35:05.364+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Sekhar', 'email': 'f5gqiw!vz4@kowtjsn.mb', 'date': '2024-06-13'}
[2024-06-19T18:35:05.366+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Praneeth', 'email': 'jj%fpfe!2a@ltuyxhh.vw', 'date': '2024-06-13'}
[2024-06-19T18:35:05.366+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Kiran', 'email': 'b@kbzv.jg', 'date': '2024-06-13'}
[2024-06-19T18:35:05.367+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Ushasri', 'email': 'dfkcn@wpdrh.fbg', 'date': '2024-06-13'}
[2024-06-19T18:35:05.368+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Nagavamsi', 'email': '44ldpo@wci.zl', 'date': '2024-06-13'}
[2024-06-19T18:35:05.369+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Nadikatla', 'email': 'h#zn1l3pu@hstx.rf', 'date': '2024-06-13'}
[2024-06-19T18:35:05.370+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Ushasri', 'email': 'jemhz4^i!#@nns.ld', 'date': '2024-01-13'}
[2024-06-19T18:35:05.371+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Masthan', 'email': '6b5v@jkaznzpsw.bw', 'date': '2024-06-13'}
[2024-06-19T18:35:05.372+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Soukhya', 'email': 'ihww2@noqe.mf', 'date': '2024-01-13'}
[2024-06-19T18:35:05.373+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Prasanna', 'email': 'l&@cbclt.keo', 'date': '2024-06-13'}
[2024-06-19T18:35:05.374+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Dathrika', 'email': 'f.z$ig!x&!@qow.iz', 'date': '2024-06-13'}
[2024-06-19T18:35:05.375+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Spandana', 'email': 'caonya#wz@mzkmcma.fe', 'date': '2024-06-13'}
[2024-06-19T18:35:05.376+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Saiteja', 'email': 'tbyhsqy@juh.dae', 'date': '2024-06-13'}
[2024-06-19T18:35:05.377+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Vadlamudi', 'email': 'tjcuy^8f5v@wcujzcxm.zi', 'date': '2024-06-13'}
[2024-06-19T18:35:05.378+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Bahoju', 'email': 'r&lx00k0e1@xadkfvwpy.ecq', 'date': '2024-06-13'}
[2024-06-19T18:35:05.379+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Udugula', 'email': 'mu67%^thy@nvji.tw', 'date': '2024-06-13'}
[2024-06-19T18:35:05.380+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Chandra', 'email': '5nss&r*!d@glt.bjk', 'date': '2024-06-13'}
[2024-06-19T18:35:05.381+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Machupalli', 'email': 'dcufgw@g.de', 'date': '2024-06-13'}
[2024-06-19T18:35:05.382+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Karnati', 'email': 'y@ezzgxyr.wly', 'date': '2024-06-13'}
[2024-06-19T18:35:05.383+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Moru', 'email': '3&bs@zzn.we', 'date': '2024-06-13'}
[2024-06-19T18:35:05.384+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Vankamamidi', 'email': 'y0decbadz@ycuuckeix.fc', 'date': '2024-06-13'}
[2024-06-19T18:35:05.385+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Mohammad', 'email': 'pr*@vvfgsrgy.ltl', 'date': '2024-06-13'}
[2024-06-19T18:35:05.386+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Saiteja', 'email': 'r5$yd&.@jotkhbpro.kpp', 'date': '2024-06-13'}
[2024-06-19T18:35:05.387+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Suma', 'email': 'y@a.aen', 'date': '2013-06-24'}
[2024-06-19T18:35:05.388+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Akhilesh', 'email': 'kx@nlqudvj.yyk', 'date': '2024-06-13'}
[2024-06-19T18:35:05.389+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Adepu', 'email': 'h57!p^plx6@mx.ahk', 'date': '2024-06-13'}
[2024-06-19T18:35:05.390+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Vadlamudi', 'email': 'h@fsodmmbxi.ya', 'date': '2024-06-13'}
[2024-06-19T18:35:05.391+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Chandrakanth', 'email': 'ze@kbc.ulm', 'date': '2024-06-13'}
[2024-06-19T18:35:05.392+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Shareef', 'email': 'ki9hv5@mjugdkxl.qa', 'date': '2024-06-13'}
[2024-06-19T18:35:05.393+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Komati', 'email': '10$*u@c.qt', 'date': '2024-06-13'}
[2024-06-19T18:35:05.394+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Anthati', 'email': '4@yjlw.fx', 'date': '2024-06-13'}
[2024-06-19T18:35:05.395+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Nikhil', 'email': 'cokto@zbpiwpi.mb', 'date': '2024-06-13'}
[2024-06-19T18:35:05.396+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Chandrakanth', 'email': 'z.4k#@qwpml.bl', 'date': '2024-06-13'}
[2024-06-19T18:35:05.397+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Chirneni', 'email': 'kv3*qy@jxoy.fxy', 'date': '2024-06-13'}
[2024-06-19T18:35:05.398+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Sree', 'email': 'ou@xfemwoclu.hm', 'date': '2024-06-13'}
[2024-06-19T18:35:05.399+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Bahoju', 'email': '4!w7@gezqtv.hk', 'date': '2024-06-13'}
[2024-06-19T18:35:05.400+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Karnati', 'email': 'ot@lwj.dc', 'date': '2024-06-13'}
[2024-06-19T18:35:05.402+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Suma', 'email': 'wj1k*!@vwejlvvp.hvi', 'date': '2024-06-13'}
[2024-06-19T18:35:05.403+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Davis', 'email': '23@faijzja.nt', 'date': '2024-06-13'}
[2024-06-19T18:35:05.404+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Krishna', 'email': 'q#$$j@yjxdinptj.gvl', 'date': '2024-06-13'}
[2024-06-19T18:35:05.405+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Sree', 'email': 'gvy&%4pec@g.wmh', 'date': '2024-06-13'}
[2024-06-19T18:35:05.406+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Sekhar', 'email': 'uv@afafb.rg', 'date': '2024-06-13'}
[2024-06-19T18:35:05.407+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Aishwarya', 'email': 'rp5@pccierqb.vxb', 'date': '2024-06-13'}
[2024-06-19T18:35:05.407+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Narandas', 'email': '4gct!j@begxgno.si', 'date': '2024-06-13'}
[2024-06-19T18:35:05.408+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Jyothi', 'email': '8r5xyb.!@bji.su', 'date': '2013-06-24'}
[2024-06-19T18:35:05.409+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Brahmadevara', 'email': '9%0@wxjgvhn.kt', 'date': '2024-06-13'}
[2024-06-19T18:35:05.410+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Gopalakrishna', 'email': 'bw@nnadav.it', 'date': '2024-06-13'}
[2024-06-19T18:35:05.412+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Krishna', 'email': 'u7s5y@rtam.qi', 'date': '2024-01-13'}
