[2024-06-19T18:40:06.180+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-19T18:40:06.207+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: file_jsons_to_postgres.insert_json scheduled__2024-06-19T18:35:00+00:00 [queued]>
[2024-06-19T18:40:06.219+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: file_jsons_to_postgres.insert_json scheduled__2024-06-19T18:35:00+00:00 [queued]>
[2024-06-19T18:40:06.219+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 6
[2024-06-19T18:40:06.240+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): insert_json> on 2024-06-19 18:35:00+00:00
[2024-06-19T18:40:06.247+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=1591) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-06-19T18:40:06.248+0000] {standard_task_runner.py:63} INFO - Started process 1593 to run task
[2024-06-19T18:40:06.248+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'file_jsons_to_postgres', 'insert_json', 'scheduled__2024-06-19T18:35:00+00:00', '--job-id', '1777', '--raw', '--subdir', 'DAGS_FOLDER/file_jsons_to_postgres.py', '--cfg-path', '/tmp/tmpbph6kovg']
[2024-06-19T18:40:06.250+0000] {standard_task_runner.py:91} INFO - Job 1777: Subtask insert_json
[2024-06-19T18:40:06.293+0000] {task_command.py:426} INFO - Running <TaskInstance: file_jsons_to_postgres.insert_json scheduled__2024-06-19T18:35:00+00:00 [running]> on host e66744caf823
[2024-06-19T18:40:06.417+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='file_jsons_to_postgres' AIRFLOW_CTX_TASK_ID='insert_json' AIRFLOW_CTX_EXECUTION_DATE='2024-06-19T18:35:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-06-19T18:35:00+00:00'
[2024-06-19T18:40:06.418+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-19T18:40:06.457+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Sekhar', 'email': 'f5gqiw!vz4@kowtjsn.mb', 'date': '2024-06-13'}
[2024-06-19T18:40:06.459+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Praneeth', 'email': 'jj%fpfe!2a@ltuyxhh.vw', 'date': '2024-06-13'}
[2024-06-19T18:40:06.461+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Kiran', 'email': 'b@kbzv.jg', 'date': '2024-06-13'}
[2024-06-19T18:40:06.462+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Ushasri', 'email': 'dfkcn@wpdrh.fbg', 'date': '2024-06-13'}
[2024-06-19T18:40:06.463+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Nagavamsi', 'email': '44ldpo@wci.zl', 'date': '2024-06-13'}
[2024-06-19T18:40:06.464+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Nadikatla', 'email': 'h#zn1l3pu@hstx.rf', 'date': '2024-06-13'}
[2024-06-19T18:40:06.467+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Ushasri', 'email': 'jemhz4^i!#@nns.ld', 'date': '2024-01-13'}
[2024-06-19T18:40:06.468+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Masthan', 'email': '6b5v@jkaznzpsw.bw', 'date': '2024-06-13'}
[2024-06-19T18:40:06.470+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Soukhya', 'email': 'ihww2@noqe.mf', 'date': '2024-01-13'}
[2024-06-19T18:40:06.471+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Prasanna', 'email': 'l&@cbclt.keo', 'date': '2024-06-13'}
[2024-06-19T18:40:06.473+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Dathrika', 'email': 'f.z$ig!x&!@qow.iz', 'date': '2024-06-13'}
[2024-06-19T18:40:06.475+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Spandana', 'email': 'caonya#wz@mzkmcma.fe', 'date': '2024-06-13'}
[2024-06-19T18:40:06.476+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Saiteja', 'email': 'tbyhsqy@juh.dae', 'date': '2024-06-13'}
[2024-06-19T18:40:06.477+0000] {file_jsons_to_postgres.py:118} INFO - Inserting entry: {'name': 'Vadlamudi', 'email': 'tjcuy^8f5v@wcujzcxm.zi', 'date': '2024-06-13'}
